,START_DATE,START_TIME,START,STOP,END_DATE,END_TIME,RIDE_DURATION,MILES,FARE,DAY_NIGHT,PURPOSE,ROUND_TRIP,CATEGORY
0,07-02-2016,13:55:00,Fort Pierce,Fort Pierce,07-02-2016,14:09:00,14,5.1,56.1,AFTER-NOON,Meeting,Yes,Business
1,26-06-2016,20:48:00,Tampa,Fort Pierce,26-06-2016,21:31:00,43,33.4,367.4,NIGHT,Errand/Supplies,No,Business
2,25-06-2016,08:02:00,Kissimmee,Palm Bay,25-06-2016,08:35:00,33,21.7,238.7,MORNING,Meeting,No,Business
3,17-04-2016,17:06:00,Kissimmee,Miami,17-04-2016,18:42:00,96,32.2,354.2,EVENING,Errand/Supplies,No,Business
4,26-06-2016,16:21:00,Orlando,Miami,26-06-2016,16:33:00,12,8.8,96.8,EVENING,Meeting,No,Business
5,17-04-2016,10:12:00,Miami,Orlando,17-04-2016,11:26:00,74,35.5,390.5,AFTER-NOON,Customer Visit,No,Business
6,04-04-2016,07:38:00,Fort Pierce,Tampa,04-04-2016,09:26:00,108,77.2,849.2,MORNING,Errand/Supplies,No,Personal
7,27-05-2016,14:08:00,Palm Bay,West Palm Beach,27-05-2016,15:53:00,105,63.6,699.6,AFTER-NOON,Meeting,No,Personal
8,14-06-2016,11:51:00,Tampa,Fort Pierce,14-06-2016,13:37:00,106,33.4,367.4,AFTER-NOON,Customer Visit,No,Business
9,02-03-2016,14:20:00,Kissimmee,Fort Pierce,02-03-2016,15:57:00,97,32,352,AFTER-NOON,Meal/Entertain,No,Business
10,10-01-2016,17:41:00,Palm Bay,Fort Pierce,10-01-2016,18:09:00,28,9.7,106.7,EVENING,Errand/Supplies,No,Business
11,27-01-2016,15:46:00,Orlando,Fort Pierce,27-01-2016,16:00:00,14,9.6,105.6,EVENING,Meeting,No,Business
12,20-03-2016,09:54:00,Orlando,Palm Bay,20-03-2016,10:25:00,31,9.8,107.8,MORNING,Meeting,No,Business
13,04-04-2016,12:25:00,Tampa,Palm Bay,04-04-2016,14:22:00,117,84,924,AFTER-NOON,Meeting,No,Personal
14,28-05-2016,09:28:00,Tampa,Kissimmee,28-05-2016,10:08:00,40,16.1,177.1,MORNING,Meal/Entertain,No,Business
15,02-06-2016,11:16:00,Fort Pierce,West Palm Beach,02-06-2016,13:15:00,119,52.2,574.2,AFTER-NOON,Meeting,No,Business
16,15-02-2016,09:06:00,Tampa,Tampa,15-02-2016,10:21:00,75,25.2,277.2,MORNING,Meeting,Yes,Business
17,06-01-2016,09:57:00,Fort Pierce,Kissimmee,06-01-2016,11:51:00,114,83.7,920.7,MORNING,Customer Visit,No,Business
18,10-06-2016,18:12:00,Miami,Palm Bay,10-06-2016,20:12:00,120,82.8,910.8,EVENING,Errand/Supplies,No,Business
19,02-02-2016,16:26:00,Orlando,West Palm Beach,02-02-2016,17:09:00,43,28.4,312.4,EVENING,Meeting,No,Business
20,20-03-2016,06:57:00,Miami,West Palm Beach,20-03-2016,07:32:00,35,10.6,116.6,MORNING,Meeting,No,Business
21,17-02-2016,06:15:00,Orlando,Fort Pierce,17-02-2016,07:26:00,71,46.1,507.1,MORNING,Meeting,No,Business
22,25-01-2016,13:10:00,Palm Bay,West Palm Beach,25-01-2016,14:40:00,90,56.1,617.1,AFTER-NOON,Meeting,No,Personal
23,20-04-2016,17:37:00,Kissimmee,Orlando,20-04-2016,18:44:00,67,29.5,324.5,EVENING,Errand/Supplies,No,Business
24,12-03-2016,12:40:00,Palm Bay,West Palm Beach,12-03-2016,14:29:00,109,61.4,675.4,AFTER-NOON,Meal/Entertain,No,Business
25,25-02-2016,11:09:00,Kissimmee,West Palm Beach,25-02-2016,13:05:00,116,91.8,1009.8,AFTER-NOON,Meeting,No,Business
26,16-06-2016,10:36:00,Miami,Palm Bay,16-06-2016,10:49:00,13,7.5,82.5,AFTER-NOON,Customer Visit,No,Personal
27,10-06-2016,07:06:00,West Palm Beach,West Palm Beach,10-06-2016,07:53:00,47,20.4,224.4,MORNING,Errand/Supplies,Yes,Business
28,18-04-2016,07:30:00,West Palm Beach,West Palm Beach,18-04-2016,07:55:00,25,14,154,MORNING,Meeting,Yes,Business
29,14-06-2016,08:14:00,Palm Bay,West Palm Beach,14-06-2016,09:29:00,75,43.6,479.6,MORNING,Customer Visit,No,Personal
30,29-02-2016,20:16:00,Palm Bay,Palm Bay,29-02-2016,21:48:00,92,51.7,568.7,NIGHT,Meeting,Yes,Business
31,31-05-2016,14:36:00,Orlando,Miami,31-05-2016,15:42:00,66,45.7,502.7,AFTER-NOON,Meeting,No,Personal
32,28-02-2016,09:09:00,Miami,Fort Pierce,28-02-2016,10:58:00,109,84,924,MORNING,Meeting,No,Business
33,23-06-2016,19:54:00,Palm Bay,Tampa,23-06-2016,21:33:00,99,79.1,870.1,NIGHT,Errand/Supplies,No,Business
34,19-01-2016,08:06:00,Fort Pierce,Orlando,19-01-2016,09:11:00,65,43.5,478.5,MORNING,Customer Visit,No,Business
35,10-01-2016,15:01:00,Miami,Miami,10-01-2016,15:13:00,12,5.2,57.2,EVENING,Meeting,Yes,Business
36,07-06-2016,09:09:00,Fort Pierce,Kissimmee,07-06-2016,10:11:00,62,23.7,260.7,MORNING,Airport/Travel,No,Business
37,17-06-2016,09:07:00,Palm Bay,Tampa,17-06-2016,10:20:00,73,47.9,526.9,MORNING,Meeting,No,Business
38,20-06-2016,16:19:00,Tampa,Fort Pierce,20-06-2016,17:02:00,43,13.3,146.3,EVENING,Customer Visit,No,Business
39,17-01-2016,12:25:00,West Palm Beach,West Palm Beach,17-01-2016,13:56:00,91,64.7,711.7,AFTER-NOON,Meeting,Yes,Business
40,19-01-2016,17:56:00,Kissimmee,Palm Bay,19-01-2016,19:00:00,64,31.9,350.9,EVENING,Meeting,No,Business
41,15-06-2016,07:53:00,West Palm Beach,Tampa,15-06-2016,09:14:00,81,28.1,309.1,MORNING,Meal/Entertain,No,Business
42,18-05-2016,16:11:00,Orlando,Tampa,18-05-2016,16:41:00,30,11.6,127.6,EVENING,Meeting,No,Business
43,03-01-2016,19:31:00,Kissimmee,West Palm Beach,03-01-2016,19:45:00,14,9,99,NIGHT,Customer Visit,No,Business
44,26-01-2016,09:33:00,Fort Pierce,Palm Bay,26-01-2016,10:55:00,82,63.7,700.7,MORNING,Meeting,No,Business
45,30-04-2016,16:59:00,West Palm Beach,Palm Bay,30-04-2016,17:09:00,10,3.6,39.6,EVENING,Meal/Entertain,No,Business
46,12-01-2016,14:55:00,West Palm Beach,Palm Bay,12-01-2016,15:17:00,22,16.9,185.9,AFTER-NOON,Meal/Entertain,No,Business
47,25-02-2016,07:51:00,Palm Bay,Orlando,25-02-2016,09:45:00,114,42.6,468.6,MORNING,Meal/Entertain,No,Business
48,09-03-2016,13:50:00,Fort Pierce,Miami,09-03-2016,14:54:00,64,35.2,387.2,AFTER-NOON,Meal/Entertain,No,Business
49,16-06-2016,20:59:00,Palm Bay,Palm Bay,16-06-2016,22:45:00,106,77.8,855.8,NIGHT,Meal/Entertain,Yes,Personal
50,25-04-2016,20:50:00,Orlando,Tampa,25-04-2016,22:10:00,80,38.5,423.5,NIGHT,Errand/Supplies,No,Personal
51,21-05-2016,19:00:00,Kissimmee,Orlando,21-05-2016,20:06:00,66,38.5,423.5,NIGHT,Meeting,No,Business
52,05-02-2016,20:18:00,Miami,Miami,05-02-2016,21:04:00,46,30.9,339.9,NIGHT,Airport/Travel,Yes,Business
53,12-06-2016,11:51:00,Orlando,Kissimmee,12-06-2016,12:58:00,67,48.5,533.5,AFTER-NOON,Meeting,No,Business
54,23-06-2016,08:33:00,Kissimmee,Tampa,23-06-2016,10:03:00,90,65.1,716.1,MORNING,Errand/Supplies,No,Business
55,15-01-2016,17:39:00,Orlando,Tampa,15-01-2016,18:29:00,50,25.8,283.8,EVENING,Errand/Supplies,No,Personal
56,15-01-2016,15:52:00,Fort Pierce,West Palm Beach,15-01-2016,17:15:00,83,28.5,313.5,EVENING,Meeting,No,Business
57,09-06-2016,12:52:00,Kissimmee,Miami,09-06-2016,13:39:00,47,34.2,376.2,AFTER-NOON,Meeting,No,Personal
58,05-06-2016,18:34:00,Fort Pierce,Tampa,05-06-2016,20:13:00,99,33.3,366.3,EVENING,Meeting,No,Business
59,25-04-2016,16:23:00,Tampa,Fort Pierce,25-04-2016,16:58:00,35,18.7,205.7,EVENING,Meeting,No,Business
60,31-05-2016,18:55:00,Tampa,West Palm Beach,31-05-2016,20:54:00,119,42,462,EVENING,Meal/Entertain,No,Business
61,02-02-2016,15:13:00,Miami,Palm Bay,02-02-2016,16:25:00,72,41.2,453.2,EVENING,Errand/Supplies,No,Business
62,04-03-2016,12:10:00,Tampa,Kissimmee,04-03-2016,12:55:00,45,32.6,358.6,AFTER-NOON,Customer Visit,No,Business
63,24-04-2016,15:02:00,Miami,West Palm Beach,24-04-2016,16:07:00,65,39.1,430.1,EVENING,Customer Visit,No,Business
64,13-05-2016,10:29:00,Kissimmee,Palm Bay,13-05-2016,11:14:00,45,20.8,228.8,AFTER-NOON,Customer Visit,No,Personal
65,19-05-2016,14:50:00,Tampa,Miami,19-05-2016,15:04:00,14,8.6,94.6,AFTER-NOON,Meeting,No,Business
66,16-03-2016,16:39:00,Orlando,Palm Bay,16-03-2016,18:09:00,90,30.1,331.1,EVENING,Meeting,No,Business
67,01-02-2016,09:36:00,Tampa,Kissimmee,01-02-2016,10:46:00,70,37.3,410.3,MORNING,Airport/Travel,No,Personal
68,17-05-2016,07:03:00,Palm Bay,Kissimmee,17-05-2016,07:41:00,38,15.7,172.7,MORNING,Customer Visit,No,Business
69,06-03-2016,09:15:00,West Palm Beach,Palm Bay,06-03-2016,10:43:00,88,35.1,386.1,MORNING,Airport/Travel,No,Personal
70,11-02-2016,06:59:00,Miami,West Palm Beach,11-02-2016,08:06:00,67,34.6,380.6,MORNING,Meeting,No,Personal
71,25-02-2016,12:53:00,Fort Pierce,West Palm Beach,25-02-2016,14:04:00,71,44.4,488.4,AFTER-NOON,Customer Visit,No,Business
72,20-01-2016,18:08:00,West Palm Beach,Palm Bay,20-01-2016,18:39:00,31,23.5,258.5,EVENING,Meal/Entertain,No,Business
73,05-03-2016,16:59:00,Fort Pierce,Tampa,05-03-2016,18:48:00,109,70.3,773.3,EVENING,Meeting,No,Business
74,21-05-2016,18:03:00,Orlando,Palm Bay,21-05-2016,18:18:00,15,11.1,122.1,EVENING,Meeting,No,Business
75,30-04-2016,11:54:00,Kissimmee,Palm Bay,30-04-2016,12:51:00,57,21,231,AFTER-NOON,Meeting,No,Business
76,12-06-2016,20:32:00,West Palm Beach,Tampa,12-06-2016,22:03:00,91,50.8,558.8,NIGHT,Meal/Entertain,No,Personal
77,15-01-2016,20:27:00,West Palm Beach,Miami,15-01-2016,22:17:00,110,65.4,719.4,NIGHT,Meeting,No,Business
78,21-01-2016,13:03:00,Palm Bay,Fort Pierce,21-01-2016,13:55:00,52,39.1,430.1,AFTER-NOON,Errand/Supplies,No,Personal
79,26-04-2016,16:28:00,Kissimmee,Miami,26-04-2016,17:02:00,34,26.7,293.7,EVENING,Airport/Travel,No,Business
80,10-04-2016,19:08:00,Fort Pierce,Miami,10-04-2016,21:01:00,113,59,649,NIGHT,Meeting,No,Business
81,11-05-2016,14:24:00,Tampa,Miami,11-05-2016,15:25:00,61,31.5,346.5,AFTER-NOON,Airport/Travel,No,Business
82,16-01-2016,10:02:00,Fort Pierce,Tampa,16-01-2016,10:49:00,47,27.3,300.3,AFTER-NOON,Meal/Entertain,No,Business
83,16-06-2016,20:32:00,Palm Bay,Orlando,16-06-2016,22:16:00,104,51,561,NIGHT,Meal/Entertain,No,Business
84,28-02-2016,09:06:00,Kissimmee,Orlando,28-02-2016,09:20:00,14,8.9,97.9,MORNING,Meeting,No,Business
85,29-03-2016,14:57:00,Palm Bay,Palm Bay,29-03-2016,15:51:00,54,27,297,AFTER-NOON,Meal/Entertain,Yes,Business
86,04-02-2016,19:53:00,Kissimmee,Palm Bay,04-02-2016,20:39:00,46,15.1,166.1,NIGHT,Meeting,No,Business
87,13-05-2016,07:34:00,Tampa,Palm Bay,13-05-2016,08:28:00,54,36.3,399.3,MORNING,Meeting,No,Business
88,01-04-2016,12:05:00,West Palm Beach,Miami,01-04-2016,13:23:00,78,29.6,325.6,AFTER-NOON,Meal/Entertain,No,Business
89,07-02-2016,08:47:00,West Palm Beach,Tampa,07-02-2016,09:21:00,34,22.1,243.1,MORNING,Errand/Supplies,No,Personal
90,16-01-2016,11:31:00,Palm Bay,Miami,16-01-2016,12:43:00,72,25.9,284.9,AFTER-NOON,Meeting,No,Business
91,31-05-2016,11:46:00,Tampa,Miami,31-05-2016,13:45:00,119,50.2,552.2,AFTER-NOON,Meeting,No,Personal
92,13-03-2016,15:24:00,Miami,West Palm Beach,13-03-2016,17:22:00,118,86.8,954.8,EVENING,Meeting,No,Business
93,18-03-2016,17:43:00,Palm Bay,Orlando,18-03-2016,18:40:00,57,33.7,370.7,EVENING,Meeting,No,Business
94,19-05-2016,14:30:00,West Palm Beach,Miami,19-05-2016,16:20:00,110,83.6,919.6,AFTER-NOON,Airport/Travel,No,Business
95,29-04-2016,13:55:00,Kissimmee,Orlando,29-04-2016,14:28:00,33,16.8,184.8,AFTER-NOON,Meeting,No,Business
96,28-04-2016,10:14:00,Orlando,Miami,28-04-2016,11:02:00,48,22.6,248.6,AFTER-NOON,Meeting,No,Business
97,04-03-2016,18:12:00,Orlando,Palm Bay,04-03-2016,19:08:00,56,24,264,EVENING,Meeting,No,Business
98,09-01-2016,14:32:00,Miami,Tampa,09-01-2016,16:23:00,111,65.7,722.7,AFTER-NOON,Errand/Supplies,No,Business
99,14-04-2016,10:50:00,Tampa,Orlando,14-04-2016,12:35:00,105,59,649,AFTER-NOON,Customer Visit,No,Business
100,17-05-2016,20:42:00,Tampa,Miami,17-05-2016,21:17:00,35,28,308,NIGHT,Customer Visit,No,Personal
101,20-03-2016,06:16:00,Kissimmee,Orlando,20-03-2016,07:32:00,76,38.8,426.8,MORNING,Meeting,No,Business
102,06-05-2016,13:07:00,Palm Bay,West Palm Beach,06-05-2016,13:33:00,26,15.8,173.8,AFTER-NOON,Customer Visit,No,Personal
103,15-05-2016,15:54:00,Fort Pierce,Fort Pierce,15-05-2016,17:37:00,103,48.1,529.1,EVENING,Meal/Entertain,Yes,Business
104,25-05-2016,06:50:00,Orlando,Miami,25-05-2016,07:30:00,40,29.3,322.3,MORNING,Errand/Supplies,No,Business
105,01-03-2016,10:41:00,Palm Bay,Orlando,01-03-2016,11:43:00,62,36.3,399.3,AFTER-NOON,Meal/Entertain,No,Business
106,17-04-2016,15:20:00,Kissimmee,Orlando,17-04-2016,16:23:00,63,24.3,267.3,EVENING,Customer Visit,No,Business
107,23-05-2016,13:03:00,Palm Bay,Palm Bay,23-05-2016,14:16:00,73,45.3,498.3,AFTER-NOON,Meal/Entertain,Yes,Personal
108,13-03-2016,14:21:00,West Palm Beach,Palm Bay,13-03-2016,14:43:00,22,10.4,114.4,AFTER-NOON,Errand/Supplies,No,Business
109,10-02-2016,20:39:00,Orlando,Kissimmee,10-02-2016,22:18:00,99,66.6,732.6,NIGHT,Customer Visit,No,Business
110,10-01-2016,09:33:00,West Palm Beach,Orlando,10-01-2016,10:01:00,28,21.6,237.6,MORNING,Customer Visit,No,Business
111,05-02-2016,09:02:00,Tampa,Orlando,05-02-2016,09:33:00,31,14.3,157.3,MORNING,Meeting,No,Business
112,31-01-2016,13:38:00,Miami,Kissimmee,31-01-2016,13:43:00,5,1.7,18.7,AFTER-NOON,Errand/Supplies,No,Business
113,29-02-2016,13:53:00,West Palm Beach,Miami,29-02-2016,14:23:00,30,17.9,196.9,AFTER-NOON,Customer Visit,No,Personal
114,24-06-2016,13:01:00,Palm Bay,Fort Pierce,24-06-2016,14:41:00,100,44.6,490.6,AFTER-NOON,Airport/Travel,No,Personal
115,11-01-2016,16:52:00,Orlando,Orlando,11-01-2016,17:54:00,62,35.2,387.2,EVENING,Meal/Entertain,Yes,Business
116,23-06-2016,18:57:00,Kissimmee,Miami,23-06-2016,20:37:00,100,65.6,721.6,EVENING,Meeting,No,Personal
117,24-01-2016,13:13:00,Orlando,Orlando,24-01-2016,13:53:00,40,22.5,247.5,AFTER-NOON,Airport/Travel,Yes,Business
118,16-03-2016,15:36:00,Palm Bay,West Palm Beach,16-03-2016,16:56:00,80,54.8,602.8,EVENING,Meeting,No,Business
119,07-02-2016,09:05:00,Miami,Tampa,07-02-2016,10:58:00,113,56,616,MORNING,Meeting,No,Business
120,16-03-2016,16:11:00,Tampa,Orlando,16-03-2016,17:13:00,62,44.7,491.7,EVENING,Meal/Entertain,No,Business
121,26-04-2016,06:14:00,Fort Pierce,Palm Bay,26-04-2016,07:02:00,48,19.5,214.5,MORNING,Errand/Supplies,No,Personal
122,12-03-2016,14:11:00,Orlando,Miami,12-03-2016,15:49:00,98,45.8,503.8,AFTER-NOON,Meal/Entertain,No,Business
123,23-06-2016,20:19:00,Kissimmee,Palm Bay,23-06-2016,21:36:00,77,28.6,314.6,NIGHT,Meal/Entertain,No,Business
124,12-06-2016,15:40:00,Miami,Tampa,12-06-2016,16:20:00,40,22.8,250.8,EVENING,Errand/Supplies,No,Business
125,02-05-2016,14:13:00,Kissimmee,Fort Pierce,02-05-2016,14:26:00,13,5.2,57.2,AFTER-NOON,Meal/Entertain,No,Business
126,16-02-2016,16:49:00,Tampa,West Palm Beach,16-02-2016,17:33:00,44,33.6,369.6,EVENING,Customer Visit,No,Business
127,16-03-2016,19:21:00,Tampa,West Palm Beach,16-03-2016,20:24:00,63,23.3,256.3,NIGHT,Meeting,No,Business
128,28-04-2016,06:36:00,Fort Pierce,Fort Pierce,28-04-2016,07:12:00,36,16.6,182.6,MORNING,Errand/Supplies,Yes,Business
129,17-04-2016,19:23:00,Orlando,Palm Bay,17-04-2016,19:32:00,9,4.5,49.5,NIGHT,Meal/Entertain,No,Business
130,31-01-2016,19:29:00,Kissimmee,Kissimmee,31-01-2016,20:45:00,76,50.7,557.7,NIGHT,Meeting,Yes,Business
131,16-05-2016,11:34:00,Tampa,Orlando,16-05-2016,11:43:00,9,3.5,38.5,AFTER-NOON,Customer Visit,No,Business
132,16-04-2016,08:27:00,Miami,Fort Pierce,16-04-2016,09:14:00,47,16.5,181.5,MORNING,Meeting,No,Business
133,30-05-2016,14:36:00,West Palm Beach,Palm Bay,30-05-2016,15:15:00,39,13.7,150.7,AFTER-NOON,Meeting,No,Business
134,03-03-2016,13:25:00,Miami,Kissimmee,03-03-2016,14:24:00,59,30.3,333.3,AFTER-NOON,Meal/Entertain,No,Business
135,25-06-2016,10:03:00,Tampa,Tampa,25-06-2016,11:47:00,104,36.9,405.9,AFTER-NOON,Meeting,Yes,Personal
136,11-01-2016,10:52:00,Miami,Orlando,11-01-2016,11:35:00,43,19.3,212.3,AFTER-NOON,Meal/Entertain,No,Personal
137,03-04-2016,19:00:00,Kissimmee,West Palm Beach,03-04-2016,20:55:00,115,41.5,456.5,NIGHT,Meeting,No,Business
138,15-01-2016,09:46:00,Kissimmee,West Palm Beach,15-01-2016,10:55:00,69,45.7,502.7,MORNING,Meal/Entertain,No,Business
139,14-02-2016,06:48:00,Palm Bay,West Palm Beach,14-02-2016,08:00:00,72,33.6,369.6,MORNING,Customer Visit,No,Business
140,10-04-2016,08:23:00,Tampa,West Palm Beach,10-04-2016,08:58:00,35,23.3,256.3,MORNING,Meeting,No,Personal
141,25-05-2016,19:30:00,Tampa,Miami,25-05-2016,21:11:00,101,30.6,336.6,NIGHT,Meal/Entertain,No,Personal
142,19-04-2016,10:53:00,Tampa,Palm Bay,19-04-2016,10:59:00,6,4.3,47.3,AFTER-NOON,Customer Visit,No,Business
143,13-02-2016,10:17:00,Orlando,Miami,13-02-2016,11:01:00,44,24.2,266.2,AFTER-NOON,Meeting,No,Business
144,25-03-2016,19:02:00,Fort Pierce,Fort Pierce,25-03-2016,20:57:00,115,65.4,719.4,NIGHT,Errand/Supplies,Yes,Business
145,27-05-2016,20:38:00,Tampa,Tampa,27-05-2016,21:39:00,61,30.8,338.8,NIGHT,Errand/Supplies,Yes,Personal
146,12-05-2016,14:09:00,Orlando,West Palm Beach,12-05-2016,15:26:00,77,36.1,397.1,AFTER-NOON,Customer Visit,No,Personal
147,02-04-2016,10:05:00,Miami,Miami,02-04-2016,10:12:00,7,5.5,60.5,AFTER-NOON,Meeting,Yes,Business
148,26-06-2016,15:14:00,Kissimmee,Miami,26-06-2016,17:05:00,111,57.6,633.6,EVENING,Customer Visit,No,Personal
149,12-01-2016,09:37:00,Tampa,Palm Bay,12-01-2016,11:14:00,97,71.1,782.1,MORNING,Errand/Supplies,No,Business
150,16-02-2016,18:08:00,Fort Pierce,Palm Bay,16-02-2016,18:18:00,10,5.8,63.8,EVENING,Meal/Entertain,No,Business
151,23-03-2016,20:01:00,Tampa,Palm Bay,23-03-2016,21:37:00,96,74,814,NIGHT,Customer Visit,No,Business
152,19-02-2016,08:43:00,West Palm Beach,Palm Bay,19-02-2016,09:30:00,47,28.1,309.1,MORNING,Meeting,No,Personal
153,19-03-2016,10:57:00,Miami,Kissimmee,19-03-2016,12:03:00,66,29.1,320.1,AFTER-NOON,Meeting,No,Business
154,16-02-2016,18:26:00,West Palm Beach,Palm Bay,16-02-2016,18:33:00,7,5.6,61.6,EVENING,Airport/Travel,No,Personal
155,27-06-2016,14:05:00,Kissimmee,Fort Pierce,27-06-2016,15:26:00,81,45.3,498.3,AFTER-NOON,Meeting,No,Personal
156,23-06-2016,13:01:00,Orlando,Tampa,23-06-2016,14:38:00,97,43.8,481.8,AFTER-NOON,Meal/Entertain,No,Business
157,19-06-2016,07:03:00,Palm Bay,Palm Bay,19-06-2016,07:24:00,21,16.8,184.8,MORNING,Customer Visit,Yes,Personal
158,24-06-2016,20:14:00,Tampa,Palm Bay,24-06-2016,20:27:00,13,4.9,53.9,NIGHT,Meeting,No,Business
159,11-01-2016,16:23:00,Fort Pierce,Palm Bay,11-01-2016,18:03:00,100,49,539,EVENING,Customer Visit,No,Personal
160,21-05-2016,15:57:00,West Palm Beach,Orlando,21-05-2016,16:42:00,45,35.8,393.8,EVENING,Meeting,No,Business
161,19-02-2016,18:24:00,West Palm Beach,Fort Pierce,19-02-2016,20:06:00,102,35.5,390.5,EVENING,Meeting,No,Personal
162,30-03-2016,06:53:00,Miami,Kissimmee,30-03-2016,08:04:00,71,36.6,402.6,MORNING,Errand/Supplies,No,Business
163,13-06-2016,12:31:00,Orlando,Fort Pierce,13-06-2016,14:03:00,92,29.1,320.1,AFTER-NOON,Meeting,No,Business
164,03-04-2016,07:01:00,West Palm Beach,Kissimmee,03-04-2016,07:47:00,46,36.5,401.5,MORNING,Meeting,No,Personal
165,21-03-2016,17:32:00,Miami,West Palm Beach,21-03-2016,19:09:00,97,59.8,657.8,EVENING,Airport/Travel,No,Business
166,05-02-2016,07:49:00,Tampa,West Palm Beach,05-02-2016,08:42:00,53,40.2,442.2,MORNING,Meeting,No,Business
167,15-02-2016,07:55:00,Tampa,Tampa,15-02-2016,09:04:00,69,22.9,251.9,MORNING,Meal/Entertain,Yes,Business
168,13-04-2016,06:13:00,Fort Pierce,West Palm Beach,13-04-2016,07:17:00,64,29.6,325.6,MORNING,Meeting,No,Business
